Country,Category,Item
Afghanistan,"Cereals, grains and seeds",Rice
Albania,Drink,Wine
Algeria,Confectionary,Cocoa products
Andorra,Drink,Wine
Angola,Meat,Fish (frozen)
Antarctica,Ingredients,Herbs and spices
Antigua and Barbuda,Meat,Chicken (frozen)
Argentina,Ingredients,Oil
Armenia,Ingredients,Oil
Australia,Drink,Wine
Austria,Drink,Water
Azerbaijan,Drink,Spirits
Bahamas,Ingredients,"Extracts, concentrates, residues, preparations"
Bahrain,Ingredients,Oil
Bangladesh,Meat,Seafood (frozen)
Barbados,Drink,Spirits
Belarus,Ingredients,"Extracts, concentrates, residues, preparations"
Belgium,Fruit and Vegetables,Potatoes
Belize,Ingredients,Sugar
Benin,Fruit and Vegetables,Nuts
Bermuda,Drink,Wine
Bhutan,Ingredients,Herbs and spices
Bolivia,Fruit and Vegetables,Nuts
Bosnia-Herzegovina,Drink,Water
Botswana,Meat,Beef
Brazil,Meat,Processed meat
Bulgaria,"Cereals, grains and seeds",Seeds
Burkina Faso,Fruit and Vegetables,Guavas
Burundi,Drink,Tea and coffee
Cambodia,"Cereals, grains and seeds",Rice
Cameroon,Fruit and Vegetables,Bananas and plantains
Canada,Misc,Soya beans
Canary Islands,Fruit and Vegetables,Tomatoes
Cayman Islands,Baked Goods,Bread
Chile,Fruit and Vegetables,Grapes
China,Meat,Fish (frozen)
Colombia,Fruit and Vegetables,Bananas and plantains
Comoros,Ingredients,Herbs and spices
Congo,Drink,Tea and coffee
Costa Rica,Fruit and Vegetables,Bananas and plantains
Croatia,Meat,Processed meat
Cuba,Drink,Spirits
Cyprus,Dairy,Cheese
Czech Republic,Confectionary,Sweets
Denmark,Meat,Pork
Djibouti,Drink,Tea and coffee
Dominica,Fruit and Vegetables,Bananas and plantains
Dominican Republic,Fruit and Vegetables,Bananas and plantains
Ecuador,Fruit and Vegetables,Bananas and plantains
Egypt,Fruit and Vegetables,Oranges
El Salvador,Ingredients,Sugar
Equatorial Guinea,Fruit and Vegetables,Guavas
Estonia,"Cereals, grains and seeds",Seeds
Ethiopia,Drink,Tea and coffee
Falklands Islands and dependencies,Meat,Sheep (frozen)
Faroe Islands,Meat,Fish
Fiji,Drink,Water
Finland,"Cereals, grains and seeds",Seeds
France,Drink,Wine
Gabon,Ingredients,Herbs and spices
Gambia,Fruit and Vegetables,Guavas
Georgia,Drink,Wine
Germany,Fruit and Vegetables,Tomatoes
Ghana,Confectionary,Cocoa products
Gibraltar,Ingredients,"Extracts, concentrates, residues, preparations"
Greece,Fruit and Vegetables,Olives and capers
Grenada,Confectionary,Cocoa products
Guadeloupe,Ingredients,Sugar
Guatemala,Fruit and Vegetables,Pulses
Guinea,Fruit and Vegetables,Guavas
Guinea Bissau,Fruit and Vegetables,Nuts
Guyana,Ingredients,Sugar
Honduras,Ingredients,Oil
Hong Kong,Ingredients,Sauces
Hungary,Fruit and Vegetables,Sweetcorn
Iceland,Meat,Fish (frozen)
India,Fruit and Vegetables,Grapes
Indonesia,Ingredients,Oil
Iran (Islamic Republic of),Ingredients,Sugar
Ireland,Meat,Beef
Israel,Fruit and Vegetables,Avocados
Italy,Fruit and Vegetables,Tomatoes
Ivory Coast,Confectionary,Cocoa products
Jamaica,Drink,Spirits
Japan,Misc,Sauces and preparations therefor
Jordan,Fruit and Vegetables,Cauliflower and broccoli
Kazakhstan,"Cereals, grains and seeds",Seeds
Kenya,Drink,Tea and coffee
Kosovo,Drink,Water
Kuwait,Ingredients,Oil
"Kyrgyz, Republic",Fruit and Vegetables,Dried Fruit
Laos,Drink,Beer
Latvia,"Cereals, grains and seeds",Seeds
Lebanon,Drink,Wine
Lesotho,Ingredients,Flour
Libya,Fruit and Vegetables,Dates
Liechtenstein,Drink,Wine
Lithuania,Meat,Fish
Luxembourg,Fruit and Vegetables,Nuts
Macao,Meat,Fish (frozen)
Macedonia,Dairy,Ice Cream
Madagascar,Ingredients,Herbs and spices
Malawi,Drink,Tea and coffee
Malaysia,Ingredients,Oil
Maldives,Meat,Fish
Mali,Fruit and Vegetables,Guavas
Malta,Confectionary,Chocolate
Marshall Islands,Meat,Seafood
Martinique,Misc,Reeds (Animal feed)
Mauritania,Ingredients,Sugar
Mauritius,Meat,Fish
